table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default,identity_generation,generated_kind,comment
app,user_state,1,user_id,uuid,NO,null,null,null,null
app,user_state,2,assessment_required,boolean,NO,true,null,null,null
app,user_state,3,last_assessed_at,timestamp with time zone,YES,null,null,null,null
app,v_user_state,1,user_id,uuid,YES,null,null,null,null
app,v_user_state,2,assessment_required,boolean,YES,null,null,null,null
app,v_user_state,3,last_assessed_at,timestamp with time zone,YES,null,null,null,null
app2,coach_audit,1,id,uuid,NO,gen_random_uuid(),null,null,null
app2,coach_audit,2,user_id,uuid,NO,null,null,null,null
app2,coach_audit,3,session_id,uuid,YES,null,null,null,null
app2,coach_audit,4,session_exercise_id,uuid,YES,null,null,null,null
app2,coach_audit,5,tool,text,NO,null,null,null,null
app2,coach_audit,6,args_json,jsonb,NO,null,null,null,null
app2,coach_audit,7,args_hash,text,NO,null,null,null,null
app2,coach_audit,8,explain,text,YES,null,null,null,null
app2,coach_audit,9,created_at,timestamp with time zone,NO,now(),null,null,null
app2,logged_sets,1,id,uuid,NO,gen_random_uuid(),null,null,null
app2,logged_sets,2,session_exercise_id,uuid,NO,null,null,null,null
app2,logged_sets,3,set_number,integer,NO,null,null,null,null
app2,logged_sets,4,reps,integer,YES,null,null,null,null
app2,logged_sets,5,weight,"numeric(6,2)",YES,null,null,null,null
app2,logged_sets,6,rpe,"numeric(3,1)",YES,null,null,null,null
app2,logged_sets,7,duration_sec,integer,YES,null,null,null,null
app2,logged_sets,8,notes,text,YES,null,null,null,null
app2,logged_sets,9,meta,jsonb,YES,null,null,null,null
app2,logged_sets,10,created_at,timestamp with time zone,NO,now(),null,null,null
app2,logged_sets,11,voided,boolean,NO,false,null,null,null
app2,plans,1,id,uuid,NO,gen_random_uuid(),null,null,null
app2,plans,2,user_id,uuid,NO,null,null,null,null
app2,plans,3,status,text,NO,'draft'::text,null,null,null
app2,plans,4,goals,text[],NO,null,null,null,null
app2,plans,5,experience_level,app2.experience_level,NO,null,null,null,null
app2,plans,6,years_away,integer,YES,null,null,null,null
app2,plans,7,frequency_days_per_week,integer,NO,null,null,null,null
app2,plans,8,schedule_days,text[],NO,null,null,null,null
app2,plans,9,session_duration_min,integer,NO,null,null,null,null
app2,plans,10,environment,app2.environment,NO,null,null,null,null
app2,plans,11,coaching_tone,app2.coaching_tone,NO,null,null,null,null
app2,plans,12,height_cm,"numeric(5,2)",NO,null,null,null,null
app2,plans,13,weight_kg,"numeric(6,2)",NO,null,null,null,null
app2,plans,14,resting_hr,integer,YES,null,null,null,null
app2,plans,15,body_fat_pct,"numeric(5,2)",YES,null,null,null,null
app2,plans,16,locale,text,YES,'en'::text,null,null,null
app2,plans,17,seed,jsonb,NO,null,null,null,PlanSeed JSON captured from onboarding for reproducibility.
app2,plans,18,started_on,date,YES,null,null,null,null
app2,plans,19,created_at,timestamp with time zone,NO,now(),null,null,null
app2,plans,20,updated_at,timestamp with time zone,NO,now(),null,null,null
app2,profiles,1,user_id,uuid,NO,null,null,null,null
app2,profiles,2,first_name,text,NO,null,null,null,null
app2,profiles,3,last_name,text,NO,null,null,null,null
app2,profiles,4,date_of_birth,date,NO,null,null,null,null
app2,profiles,5,gender,text,YES,null,null,null,null
app2,profiles,6,locale,text,NO,'en'::text,null,null,null
app2,profiles,7,height_cm,"numeric(5,2)",NO,null,null,null,null
app2,profiles,8,weight_kg,"numeric(6,2)",NO,null,null,null,null
app2,profiles,9,resting_hr,integer,YES,null,null,null,null
app2,profiles,10,body_fat_pct,"numeric(5,2)",YES,null,null,null,null
app2,profiles,11,assessment_required,boolean,NO,true,null,null,null
app2,profiles,12,last_assessment_at,timestamp with time zone,YES,null,null,null,null
app2,profiles,13,injuries,text[],NO,'{}'::text[],null,null,null
app2,profiles,14,equipment,text[],NO,'{}'::text[],null,null,null
app2,profiles,15,created_at,timestamp with time zone,NO,now(),null,null,null
app2,profiles,16,updated_at,timestamp with time zone,NO,now(),null,null,null
app2,session_exercises,1,id,uuid,NO,gen_random_uuid(),null,null,null
app2,session_exercises,2,session_id,uuid,NO,null,null,null,null
app2,session_exercises,3,order_index,integer,NO,null,null,null,Stable display order within a session (0..N).
app2,session_exercises,4,exercise_name,text,YES,null,null,null,null
app2,session_exercises,5,variant_id,uuid,YES,null,null,null,null
app2,session_exercises,6,pattern,text,YES,null,null,null,null
app2,session_exercises,7,prescription,jsonb,NO,null,null,null,null
app2,session_exercises,8,created_at,timestamp with time zone,NO,now(),null,null,null
app2,session_exercises,9,updated_at,timestamp with time zone,NO,now(),null,null,null
app2,sessions,1,id,uuid,NO,gen_random_uuid(),null,null,null
app2,sessions,2,user_id,uuid,NO,null,null,null,null
app2,sessions,3,plan_id,uuid,YES,null,null,null,null
app2,sessions,4,session_date,date,NO,null,null,null,null
app2,sessions,5,status,app2.session_status,NO,'pending'::app2.session_status,null,null,null
app2,sessions,6,started_at,timestamp with time zone,YES,null,null,null,null
app2,sessions,7,completed_at,timestamp with time zone,YES,null,null,null,null
app2,sessions,8,notes,text,YES,null,null,null,null
app2,sessions,9,created_at,timestamp with time zone,NO,now(),null,null,null
app2,sessions,10,updated_at,timestamp with time zone,NO,now(),null,null,null
app2,v_session_exercises_enriched,1,session_exercise_id,uuid,YES,null,null,null,null
app2,v_session_exercises_enriched,2,session_id,uuid,YES,null,null,null,null
