schema_name,table_name,constraint_name,definition,contype
app,user_state,user_state_pkey,PRIMARY KEY (user_id),p
app,user_state,user_state_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,f
app2,coach_audit,coach_audit_pkey,PRIMARY KEY (id),p
app2,coach_audit,coach_audit_session_exercise_id_fkey,FOREIGN KEY (session_exercise_id) REFERENCES app2.session_exercises(id) ON DELETE SET NULL,f
app2,coach_audit,coach_audit_session_id_fkey,FOREIGN KEY (session_id) REFERENCES app2.sessions(id) ON DELETE SET NULL,f
app2,coach_audit,coach_audit_user_id_fkey,FOREIGN KEY (user_id) REFERENCES app2.profiles(user_id) ON DELETE CASCADE,f
app2,logged_sets,logged_sets_pkey,PRIMARY KEY (id),p
app2,logged_sets,logged_sets_session_exercise_id_fkey,FOREIGN KEY (session_exercise_id) REFERENCES app2.session_exercises(id) ON DELETE CASCADE,f
app2,plans,plans_frequency_days_per_week_check,CHECK (frequency_days_per_week >= 1 AND frequency_days_per_week <= 6),c
app2,plans,plans_pkey,PRIMARY KEY (id),p
app2,plans,plans_session_duration_min_check,CHECK (session_duration_min >= 0),c
app2,plans,plans_user_id_fkey,FOREIGN KEY (user_id) REFERENCES app2.profiles(user_id) ON DELETE CASCADE,f
app2,profiles,profiles_pkey,PRIMARY KEY (user_id),p
app2,profiles,profiles_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,f
app2,session_exercises,session_exercises_pkey,PRIMARY KEY (id),p
app2,session_exercises,session_exercises_session_id_fkey,FOREIGN KEY (session_id) REFERENCES app2.sessions(id) ON DELETE CASCADE,f
app2,sessions,sessions_pkey,PRIMARY KEY (id),p
app2,sessions,sessions_plan_id_fkey,FOREIGN KEY (plan_id) REFERENCES app2.plans(id) ON DELETE SET NULL,f
app2,sessions,sessions_user_id_fkey,FOREIGN KEY (user_id) REFERENCES app2.profiles(user_id) ON DELETE CASCADE,f
app2,sessions,uq_sessions_user_date,"UNIQUE (user_id, session_date)",u
auth,audit_log_entries,audit_log_entries_pkey,PRIMARY KEY (id),p
auth,flow_state,flow_state_pkey,PRIMARY KEY (id),p
auth,identities,identities_pkey,PRIMARY KEY (id),p
auth,identities,identities_provider_id_provider_unique,"UNIQUE (provider_id, provider)",u
auth,identities,identities_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,f
auth,instances,instances_pkey,PRIMARY KEY (id),p
auth,mfa_amr_claims,amr_id_pk,PRIMARY KEY (id),p
auth,mfa_amr_claims,mfa_amr_claims_session_id_authentication_method_pkey,"UNIQUE (session_id, authentication_method)",u
auth,mfa_amr_claims,mfa_amr_claims_session_id_fkey,FOREIGN KEY (session_id) REFERENCES auth.sessions(id) ON DELETE CASCADE,f
