external_id,source,name,category,equipment_json,primary_muscles_json,secondary_muscles_json,gif_rel_path,axes_json
trmte8s,ExerciseDB,band shrug,neck,"[""band""]","[""trapezius""]","[""shoulders""]",gif/trmte8s.gif,"{""category"":""neck"",""equipment"":[""band""],""muscles"":[""trapezius""],""unilateral"":false,""load_type"":""elastic"",""movement_pattern"":""other"",""engine_key"":""neck_other_elastic""}"
LMGXZn8,ExerciseDB,barbell decline close grip to skull press,arms_upper,"[""barbell""]","[""triceps""]","[""chest"",""shoulders""]",gif/LMGXZn8.gif,"{""category"":""arms_upper"",""equipment"":[""barbell""],""muscles"":[""triceps""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""push"",""engine_key"":""arms_upper_push_external""}"
0br45wL,ExerciseDB,push-up inside leg kick,legs_upper,"[""bodyweight""]","[""gluteus""]","[""quadriceps"",""hamstrings"",""gastrocnemius"",""abdominals""]",gif/0br45wL.gif,"{""category"":""legs_upper"",""equipment"":[""bodyweight""],""muscles"":[""gluteus""],""unilateral"":false,""load_type"":""bodyweight"",""movement_pattern"":""push"",""engine_key"":""legs_upper_push_bodyweight""}"
27NNGFr,ExerciseDB,cable incline fly (on stability ball),chest,"[""cable""]","[""pectorals""]","[""deltoids"",""triceps""]",gif/27NNGFr.gif,"{""category"":""chest"",""equipment"":[""cable""],""muscles"":[""pectorals""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""chest_other_external""}"
a4F9Oyc,ExerciseDB,kettlebell double alternating hang clean,arms_upper,"[""kettlebell""]","[""biceps""]","[""forearms"",""shoulders""]",gif/a4F9Oyc.gif,"{""category"":""arms_upper"",""equipment"":[""kettlebell""],""muscles"":[""biceps""],""unilateral"":true,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""arms_upper_other_external""}"
ecl28tP,ExerciseDB,dumbbell contralateral forward lunge,legs_upper,"[""dumbbell""]","[""gluteus""]","[""quadriceps"",""hamstrings"",""gastrocnemius""]",gif/ecl28tP.gif,"{""category"":""legs_upper"",""equipment"":[""dumbbell""],""muscles"":[""gluteus""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""squat"",""engine_key"":""legs_upper_squat_external""}"
wnEscH8,ExerciseDB,barbell press sit-up,core,"[""barbell""]","[""abdominals""]","[""shoulders"",""chest""]",gif/wnEscH8.gif,"{""category"":""core"",""equipment"":[""barbell""],""muscles"":[""abdominals""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""push"",""engine_key"":""core_push_external""}"
gVlnLIJ,ExerciseDB,cable reverse one arm curl,arms_upper,"[""cable""]","[""biceps""]","[""forearms""]",gif/gVlnLIJ.gif,"{""category"":""arms_upper"",""equipment"":[""cable""],""muscles"":[""biceps""],""unilateral"":true,""load_type"":""external"",""movement_pattern"":""isolation"",""engine_key"":""arms_upper_isolation_external""}"
mtXengz,ExerciseDB,dumbbell finger curls,arms_lower,"[""dumbbell""]","[""forearms""]","[""wrist_flexors"",""wrist_extensors""]",gif/mtXengz.gif,"{""category"":""arms_lower"",""equipment"":[""dumbbell""],""muscles"":[""forearms""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""isolation"",""engine_key"":""arms_lower_isolation_external""}"
kuMiR2T,ExerciseDB,band stiff leg deadlift,legs_upper,"[""band""]","[""gluteus""]","[""hamstrings"",""lower_back""]",gif/kuMiR2T.gif,"{""category"":""legs_upper"",""equipment"":[""band""],""muscles"":[""gluteus""],""unilateral"":false,""load_type"":""elastic"",""movement_pattern"":""hinge"",""engine_key"":""legs_upper_hinge_elastic""}"
